"No.","DatasetID","Source","Country","SiteRegion","Latitude","Longitude","Croptype","yield_control","yield_treatm","yield_measure","Treatment","QualityOfDataPoint","Coordinate_format","pr_yield_control_kgha","pr_yield_treatm_kgha","pr_yield_measure_unified","pr_pub_Year","pr_Croptype","pr_Longitude","pr_Latitude","pr_Treatment","pr_harvest_Year","pr_Year_difference","pr_harvest_Year_by_median","pr_land_cover_Year"
"920","D331","Effects of reducing nitrogen application and replacing part of nitrogen fertilizer by crop residue on nitrogen leaching in winter wheat-summer corn system",NA,NA,37.8,114.7,"Wheat",5957,6521,"kg/ha","Straw return",NA,"Decimal",5957,6521,"kg/ha",2016,"Wheat","114.7","37.8","Straw return",NA,NA,2009,2009
"921","D331","Effects of reducing nitrogen application and replacing part of nitrogen fertilizer by crop residue on nitrogen leaching in winter wheat-summer corn system",NA,NA,37.8,114.7,"Wheat",5783,6489,"kg/ha","Straw return",NA,"Decimal",5783,6489,"kg/ha",2016,"Wheat","114.7","37.8","Straw return",NA,NA,2009,2009
"922","D331","Effect of different fertilization management on nitrogen loss in black soils in Northeast China","China",NA,43.8,125.4,"Maize",8987,9281,"kg/ha","Straw return",NA,"Degr-Min-Sec",8987,9281,"kg/ha",2016,"Maize","125.4","43.8","Straw return",NA,NA,2009,2009
"1052","D331","Effects of different tillage methods on the emission of methane and nitrous oxide from the rice-wheat rotation cropland of polder",NA,NA,31.66583333,117.68,"Rice",7611.11,8303.6,"kg/ha","Straw return",NA,"Degr-Min-Sec",7611.11,8303.6,"kg/ha",2016,"Rice","117.68","31.66583333","Straw return",NA,NA,2009,2009
"1053","D331","Effects of different tillage methods on the emission of methane and nitrous oxide from the rice-wheat rotation cropland of polder",NA,NA,31.66583333,117.68,"Wheat",3648,3917,"kg/ha","Straw return",NA,"Degr-Min-Sec",3648,3917,"kg/ha",2016,"Wheat","117.68","31.66583333","Straw return",NA,NA,2009,2009
"1060","D331","Liu et al. (2016)",NA,NA,30.1,104.5833333,"Maize",6834,6757,"kg/ha","Straw return",NA,"Degr-Min-Sec",6834,6757,"kg/ha",2016,"Maize","104.5833333","30.1","Straw return",NA,NA,2009,2009
"1114","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",5529.41,5509.8,"kg/ha","Straw return",NA,"Degr-Min-Sec",5529.41,5509.8,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1115","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",6665.57,6101.64,"kg/ha","Straw return",NA,"Degr-Min-Sec",6665.57,6101.64,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1116","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",6666.67,6078.43,"kg/ha","Straw return",NA,"Degr-Min-Sec",6666.67,6078.43,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1117","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",7793.44,7203.28,"kg/ha","Straw return",NA,"Degr-Min-Sec",7793.44,7203.28,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
